,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
199,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,"Jan 24, 2021",ODI # 4273
200,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,"Jan 25, 2021",ODI # 4274
201,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,"Jan 26, 2021",ODI # 4275
202,West Indies,Sri Lanka,West Indies,8 wickets,North Sound,"Mar 10, 2021",ODI # 4276
203,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 12, 2021",ODI # 4277
204,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 14, 2021",ODI # 4278
205,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,"Mar 20, 2021",ODI # 4279
206,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,"Mar 23, 2021",ODI # 4280
207,India,England,India,66 runs,Pune,"Mar 23, 2021",ODI # 4281
208,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,"Mar 26, 2021",ODI # 4282
209,India,England,England,6 wickets,Pune,"Mar 26, 2021",ODI # 4283
210,India,England,India,7 runs,Pune,"Mar 28, 2021",ODI # 4284
211,South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 2, 2021",ODI # 4285
212,South Africa,Pakistan,South Africa,17 runs,Johannesburg,"Apr 4, 2021",ODI # 4286
213,South Africa,Pakistan,Pakistan,28 runs,Centurion,"Apr 7, 2021",ODI # 4287
214,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,"May 19, 2021",ODI # 4288
215,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,"May 20, 2021",ODI # 4289
216,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,"May 23, 2021",ODI # 4290
217,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,"May 25, 2021",ODI # 4291
218,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,"May 28, 2021",ODI # 4292
219,Netherlands,Ireland,Netherlands,1 run,Utrecht,"Jun 2, 2021",ODI # 4293
220,Netherlands,Ireland,Ireland,8 wickets,Utrecht,"Jun 4, 2021",ODI # 4294
221,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,"Jun 7, 2021",ODI # 4295
222,England,Sri Lanka,England,5 wickets,Chester-le-Street,"Jun 29, 2021",ODI # 4296
223,England,Sri Lanka,England,8 wickets,The Oval,"Jul 1, 2021",ODI # 4297
224,England,Sri Lanka,no result,,Bristol,"Jul 4, 2021",ODI # 4298
225,England,Pakistan,England,9 wickets,Cardiff,"Jul 8, 2021",ODI # 4299
226,England,Pakistan,England,52 runs,Lord's,"Jul 10, 2021",ODI # 4300
227,Ireland,South Africa,no result,,Dublin (Malahide),"Jul 11, 2021",ODI # 4301
228,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),"Jul 13, 2021",ODI # 4302
229,England,Pakistan,England,3 wickets,Birmingham,"Jul 13, 2021",ODI # 4303
230,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,"Jul 16, 2021",ODI # 4304
231,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),"Jul 16, 2021",ODI # 4305
232,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,"Jul 18, 2021",ODI # 4306
233,Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 18, 2021",ODI # 4307
234,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 20, 2021",ODI # 4308
235,Sri Lanka,India,India,3 wickets,Colombo (RPS),"Jul 20, 2021",ODI # 4309
236,West Indies,Australia,Australia,133 runs,Bridgetown,"Jul 20, 2021",ODI # 4310
237,West Indies,Australia,West Indies,4 wickets,Bridgetown,"Jul 22-24, 2021",ODI # 4311
238,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),"Jul 23, 2021",ODI # 4312
239,West Indies,Australia,Australia,6 wickets,Bridgetown,"Jul 26, 2021",ODI # 4313
